"nombre_region","nombre_provincia","nombre_comuna"
"Región Metropolitana de Santiago","Santiago","Santiago"
"Región Metropolitana de Santiago","Santiago","Cerrillos"
"Región Metropolitana de Santiago","Santiago","Cerro Navia"
"Región Metropolitana de Santiago","Santiago","Conchalí"
"Región Metropolitana de Santiago","Santiago","El Bosque"
"Región Metropolitana de Santiago","Santiago","Estación Central"
"Región Metropolitana de Santiago","Santiago","Huechuraba"
"Región Metropolitana de Santiago","Santiago","Independencia"
"Región Metropolitana de Santiago","Santiago","La Cisterna"
"Región Metropolitana de Santiago","Santiago","La Florida"
"Región Metropolitana de Santiago","Santiago","La Granja"
"Región Metropolitana de Santiago","Santiago","La Pintana"
"Región Metropolitana de Santiago","Santiago","La Reina"
"Región Metropolitana de Santiago","Santiago","Las Condes"
"Región Metropolitana de Santiago","Santiago","Lo Barnechea"
"Región Metropolitana de Santiago","Santiago","Lo Espejo"
"Región Metropolitana de Santiago","Santiago","Lo Prado"
"Región Metropolitana de Santiago","Santiago","Macul"
"Región Metropolitana de Santiago","Santiago","Maipú"
"Región Metropolitana de Santiago","Santiago","Ñuñoa"
"Región Metropolitana de Santiago","Santiago","Pedro Aguirre Cerda"
"Región Metropolitana de Santiago","Santiago","Peñalolén"
"Región Metropolitana de Santiago","Santiago","Providencia"
"Región Metropolitana de Santiago","Santiago","Pudahuel"
"Región Metropolitana de Santiago","Santiago","Quilicura"
"Región Metropolitana de Santiago","Santiago","Quinta Normal"
"Región Metropolitana de Santiago","Santiago","Recoleta"
"Región Metropolitana de Santiago","Santiago","Renca"
"Región Metropolitana de Santiago","Santiago","San Joaquín"
"Región Metropolitana de Santiago","Santiago","San Miguel"
"Región Metropolitana de Santiago","Santiago","San Ramón"
"Región Metropolitana de Santiago","Santiago","Vitacura"
